"","Какими из этих сайтов вы регулярно пользуетесь?","Сколько лет вы одновременно совмещали учебу в ВУЗе и работу в IT сфере?","В каком возрасте написали первую программу?","Работает/работал ли кто-нибудь из ваших родителей в IT секторе? (Или имеет техническое образование)","Сколько часов в месяц вы тратите на самообразование?"
"","GitHub, StackOverflow","0.5","40","yes","40"
"","","0","22","","126"
"","StackOverflow","1","16","no","90"
"","StackOverflow, HabraHabr","3","12","no","20"
"","","0.5","17","no","10"
"","","1","","no","5"
"","GitHub, StackOverflow, HabraHabr","2","11","no","20"
"","","0","","",""
"","","0","17","no","50"
"","StackOverflow","0.5","17","no","40"
"","HabraHabr","1.25","17","no","6"
"","","0.5","23","no","30"
"","","0","25","no","3"
"","GitHub, StackOverflow, HabraHabr","1","12","yes","14"
"","GitHub, StackOverflow, HabraHabr","1","12","yes","15"
"","GitHub, StackOverflow, HabraHabr","4","","yes","168"
"","GitHub, StackOverflow, HabraHabr","1","13","no","30"
"","StackOverflow, HabraHabr","1.5","16","no","80"
"","GitHub, StackOverflow","2","17","yes","20"
"","HabraHabr","1","22","yes",""
"","StackOverflow","1.5","13","no","8"
"","GitHub, StackOverflow","0","","no","10"
"","GitHub, StackOverflow","2","18","no","100"
"","GitHub, StackOverflow, HabraHabr","2.5","16","no","20"
"","StackOverflow, HabraHabr","0","15","yes","20"
"","GitHub, StackOverflow, HabraHabr","3.5","17","no","30"
"","StackOverflow","0","18","no","10"
"","","0","15","no","30"
"","GitHub, StackOverflow, HabraHabr","1","12","no","70"
"","StackOverflow","0.5","14","no","24"
"","GitHub, StackOverflow, HabraHabr","2","16","no","100500"
"","StackOverflow, HabraHabr","0","19","no","10"
"","GitHub, StackOverflow, HabraHabr","2","22","no","70"
"","StackOverflow, HabraHabr","1.5","19","no","40"
"","StackOverflow, HabraHabr","5","16","no","10"
"","StackOverflow, HabraHabr","1","12","yes","32"
"","HabraHabr","4","14","no","15"
"","GitHub, StackOverflow, HabraHabr","3","12","no","50"
"","HabraHabr","0.75","14","no","70"
"","GitHub, StackOverflow, HabraHabr","0.25","16","no","4"
"","StackOverflow, HabraHabr","2.5","15","no","23"
"","GitHub","6","","no","50"
"","","0","19","yes","20"
"","StackOverflow","3","14","no","5"
"","StackOverflow, HabraHabr","2","16","no","10"
"","StackOverflow, HabraHabr","3.5","17","no","20"
"","StackOverflow","0","","no",""
"","HabraHabr","0.5","18","no","30"
"","GitHub, StackOverflow","0","10","yes","40"
"","StackOverflow","0","","",""
"","StackOverflow, HabraHabr","1.5","16","no","6"
"","HabraHabr","2","16","yes","30"
"","GitHub, StackOverflow","1.75","14","yes","40"
"","StackOverflow, HabraHabr","0","16","no","40"
"","GitHub, StackOverflow","0","12","no","12"
"","StackOverflow, HabraHabr","0","18","yes","10"
"","GitHub, StackOverflow, HabraHabr","1.5","16","no","20"
"","StackOverflow, HabraHabr","0","8","no","6"
"","StackOverflow, HabraHabr","0.5","17","yes","14"
"","","0","18","yes","1"
"","GitHub, StackOverflow, HabraHabr","2","16","no","50"
"","GitHub, StackOverflow, HabraHabr","0.75","15","yes","20"
"","HabraHabr","0","16","yes","20"
"","HabraHabr","2","15","no","3"
"","GitHub, StackOverflow","0","12","no","20"
"","","1","","no","0"
"","","3","16","no","50"
"","StackOverflow, HabraHabr","2.5","14","no","30"
"","GitHub, StackOverflow","3","12","no","100"
"","","1","20","no","40"
"","StackOverflow, HabraHabr","1.5","15","no","50"
"","GitHub, StackOverflow, HabraHabr","0","20","no","50"
"","StackOverflow, HabraHabr","1","12","no","40"
"","GitHub, StackOverflow","0","17","no","40"
"","GitHub, StackOverflow, HabraHabr","2.5","15","no","40"
"","","1","7","yes","40"
"","HabraHabr","1","0","no","50"
"","HabraHabr","0","31","no","42"
"","GitHub, StackOverflow","0","12","yes","20"
"","StackOverflow","0.5","17","yes","0"
"","HabraHabr","0.5","19","","12"
"","StackOverflow, HabraHabr","0","13","no","30"
"","GitHub, StackOverflow, HabraHabr","0.75","14","no","5"
"","StackOverflow, HabraHabr","1","22","yes","5"
"","StackOverflow, HabraHabr","0","14","no","2"
"","HabraHabr","1.5","1","no","0"
"","GitHub, StackOverflow, HabraHabr","2","13","yes","80"
"","StackOverflow, HabraHabr","2.5","15","no","20"
"","StackOverflow, HabraHabr","1.5","14","no","30"
"","","0","16","no","18"
