"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"1",NA,"Technical Lead","Java","","10 и более лет","10 и более лет",1900,0,"Симферополь","до 50 человек","Аутсорсинговая","мужской",33,"Высшее","False","средний","Desktop Applications,Веб-разработка","19/05/2014 11:26:48","Mozilla/5.0 (Windows NT 6.1; rv:29.0) Gecko/20100101 Firefox/29.0",10,10,"other",1900,NA,"SDEV"
"2",NA,"Software Engineer","JavaScript","","3","0.5",1600,900,"Львов","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Веб-разработка,Другое","19/05/2014 11:27:35","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36",3,0.5,"Львов",1600,NA,"DEV"
"3",NA,"QA Tech Lead","","Automation QA","6","2",2800,700,"Харьков","до 200 человек","Аутсорсинговая","мужской",36,"Два высших","False","продвинутый","Desktop Applications,Веб-разработка","19/05/2014 11:27:58","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",6,2,"Харьков",2800,NA,"QA"
"4",NA,"Project manager","","","9","2",2900,0,"Киев","до 10 человек","Продуктовая","мужской",32,"Два высших","False","выше среднего","Веб-разработка,Финансы и банки","19/05/2014 11:28:37","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:20.0) Gecko/20100101 Firefox/20.0",9,2,"Киев",2900,NA,"PM"
"5",NA,"Sales manager","","","3","0.5",500,1,"Другой","до 50 человек","Другая","женский",28,"Высшее","False","средний","Веб-разработка,eCommerce","19/05/2014 11:28:37","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",3,0.5,"other",500,NA,""
"6",NA,"Software Engineer","JavaScript","","3.5","0.75",1700,500,"Харьков","до 200 человек","Аутсорсинговая","мужской",24,"Незаконченное высшее","False","ниже среднего","Веб-разработка","19/05/2014 11:29:19","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3.5,0.75,"Харьков",1700,NA,"DEV"
"7",NA,"Software Engineer","Python","","2","меньше 3 месяцев",1500,800,"Львов","до 10 человек","Аутсорсинговая","мужской",25,"Два высших","False","средний","Embedded","19/05/2014 11:29:26","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36",2,0,"Львов",1500,NA,"DEV"
"8",NA,"QA engineer","","Automation QA","0.75","0.25",766,0,"Киев","до 50 человек","Продуктовая","мужской",25,"Два высших","False","выше среднего","Финансы и банки,Корпоративные системы","19/05/2014 11:30:51","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36",0.75,0.25,"Киев",766,NA,"QA"
"9",NA,"Software Engineer","Objective-C","","3","3",2550,1000,"Киев","до 50 человек","Аутсорсинговая","мужской",23,"Незаконченное высшее","False","выше среднего","iOS,Desktop Applications","19/05/2014 11:31:32","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",3,3,"Киев",2550,NA,"DEV"
"10",NA,"Software Engineer","Java","","3","3",1900,800,"Львов","до 50 человек","Аутсорсинговая","мужской",22,"Высшее","False","средний","Android","19/05/2014 11:31:53","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,3,"Львов",1900,NA,"DEV"
