"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Университет","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"1",NA,"Junior Software Engineer","JavaScript","","2","меньше 3 месяцев",1000,500,"Киев","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","НГУ","False","элементарный","Веб-разработка","21/12/2015 10:02:05","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",2,0,"Киев",1000,NA,"DEV"
"2",NA,"Software Engineer","Java","","2","2",1300,200,"Киев","до 200 человек","Продуктовая","мужской",25,"Высшее","НТУУ «КПИ»","False","средний","Веб-разработка","21/12/2015 10:02:35","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",2,2,"Киев",1300,NA,"DEV"
"3",NA,"Software Engineer","Java","","2","0.5",1500,500,"Харьков","до 50 человек","Продуктовая","мужской",24,"Высшее","ХНУ им. Каразина","False","ниже среднего","Телекоммуникации,Корпоративные системы","21/12/2015 10:03:03","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",2,0.5,"Харьков",1500,NA,"DEV"
"4",NA,"Software Engineer","PHP","","8","0.5",1000,200,"Николаев","до 50 человек","Аутсорсинговая","мужской",30,"Высшее","КНУСА","False","элементарный","Веб-разработка,Корпоративные системы","21/12/2015 10:03:24","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",8,0.5,"other",1000,NA,"DEV"
"5",NA,"Senior Software Engineer","SQL","","8","1.5",3500,0,"Одесса","до 1000 человек","Аутсорсинговая","мужской",32,"Незаконченное высшее","ОНПУ","False","выше среднего","Финансы и банки,Корпоративные системы","21/12/2015 10:04:04","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",8,1.5,"Одесса",3500,NA,"DEV"
"6",NA,"Director of Engineering / Program Director","","","меньше 3 месяцев","1",200,50,"Львов","до 10 человек","Другая","мужской",25,"Высшее","Львовская Политехника","False","выше среднего","Веб-разработка,Другое","21/12/2015 10:04:09","Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0",0,1,"Львов",200,NA,"SPM"
"7",NA,"QA engineer","","Manual QA","2","0.5",1200,500,"Киев","до 200 человек","Продуктовая","мужской",23,"Незаконченное высшее","Другой вуз","False","ниже среднего","Веб-разработка,eCommerce","21/12/2015 10:04:09","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",2,0.5,"Киев",1200,NA,"QA"
"8",NA,"Software Engineer","Java","","3","1",1750,250,"Львов","до 200 человек","Аутстаффинговая","мужской",24,"Высшее","ЛНУ им. Франко","False","средний","Веб-разработка,Корпоративные системы","21/12/2015 10:04:35","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,1,"Львов",1750,NA,"DEV"
"9",NA,"Software Engineer","C++","","3","1",1400,0,"Киев","до 1000 человек","Продуктовая","мужской",24,"Высшее","Другой вуз","False","ниже среднего","Системное программирование","21/12/2015 10:05:19","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",3,1,"Киев",1400,NA,"DEV"
"10",NA,"DBA","","","1","1",230,0,"Киев","до 1000 человек","Другая","мужской",23,"Высшее","КНУ им. Шевченко","False","средний","Финансы и банки,Корпоративные системы","21/12/2015 10:05:52","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",1,1,"Киев",230,NA,""
